price,borough,room_type,min_nights,num_reviews,host_count
200,Queens,Entire home/apt,2,7,1
57,Staten Island,Entire home/apt,1,0,1
78,Staten Island,Entire home/apt,3,79,1
190,Brooklyn,Entire home/apt,1,1,1
290,Brooklyn,Private room,1,1,1
350,Queens,Entire home/apt,2,5,1
90,Staten Island,Entire home/apt,4,8,1
110,Queens,Private room,2,1,1
100,Brooklyn,Entire home/apt,2,2,1
100,Staten Island,Entire home/apt,2,0,1
125,Brooklyn,Entire home/apt,10,1,1
76,Brooklyn,Private room,3,23,1
95,Brooklyn,Private room,1,41,2
200,Queens,Entire home/apt,1,32,2
61,Staten Island,Entire home/apt,5,0,1
80,Brooklyn,Entire home/apt,1,1,1
105,Brooklyn,Entire home/apt,2,6,2
95,Brooklyn,Private room,1,76,2
105,Staten Island,Entire home/apt,4,20,1
67,Brooklyn,Entire home/apt,1,1,1
97,Queens,Entire home/apt,2,2,1
137,Brooklyn,Entire home/apt,2,59,1
99,Brooklyn,Entire home/apt,4,0,1
70,Brooklyn,Entire home/apt,21,0,1
40,Brooklyn,Private room,31,1,1
55,Brooklyn,Private room,2,6,1
100,Brooklyn,Private room,1,0,1
85,Queens,Entire home/apt,1,0,1
115,Staten Island,Entire home/apt,2,2,1
80,Brooklyn,Private room,3,1,1
38,Brooklyn,Private room,3,16,2
115,Brooklyn,Entire home/apt,2,63,6
450,Brooklyn,Entire home/apt,1,5,6
60,Brooklyn,Private room,1,18,2
99,Brooklyn,Entire home/apt,2,68,6
86,Brooklyn,Entire home/apt,1,10,1
200,Queens,Private room,2,4,2
25,Brooklyn,Shared room,5,1,10
35,Brooklyn,Shared room,1,34,3
110,Brooklyn,Entire home/apt,3,52,6
100,Brooklyn,Shared room,3,9,1
115,Staten Island,Entire home/apt,2,29,1
110,Brooklyn,Entire home/apt,2,8,2
1485,Brooklyn,Entire home/apt,2,6,1
69,Brooklyn,Private room,2,8,2
275,Brooklyn,Entire home/apt,2,1,2
84,Brooklyn,Entire home/apt,30,0,1
45,Brooklyn,Private room,1,5,2
75,Brooklyn,Private room,1,127,2
130,Brooklyn,Entire home/apt,3,22,1
50,Brooklyn,Shared room,1,1,1
110,Brooklyn,Entire home/apt,2,57,6
150,Brooklyn,Entire home/apt,5,8,1
120,Brooklyn,Private room,1,0,1
95,Brooklyn,Private room,1,7,3
200,Staten Island,Entire home/apt,2,49,1
125,Brooklyn,Entire home/apt,7,0,1
73,Brooklyn,Entire home/apt,30,21,1
101,Brooklyn,Entire home/apt,5,2,1
105,Queens,Entire home/apt,2,0,1
79,Brooklyn,Entire home/apt,1,0,1
50,Brooklyn,Shared room,2,1,1
80,Brooklyn,Private room,3,0,2
210,Brooklyn,Entire home/apt,3,0,1
75,Brooklyn,Private room,1,2,2
30,Brooklyn,Shared room,1,1,2
99,Brooklyn,Entire home/apt,2,2,1
99,Brooklyn,Entire home/apt,3,0,1
350,Queens,Entire home/apt,3,0,1
45,Brooklyn,Private room,4,118,2
97,Brooklyn,Private room,1,2,3
25,Brooklyn,Shared room,3,2,10
50,Brooklyn,Private room,2,27,1
29,Staten Island,Private room,21,0,2
223,Brooklyn,Entire home/apt,1,1,3
85,Brooklyn,Entire home/apt,5,0,1
75,Brooklyn,Entire home/apt,2,8,1
50,Brooklyn,Shared room,1,0,3
55,Brooklyn,Entire home/apt,4,91,2
75,Staten Island,Entire home/apt,3,0,3
95,Staten Island,Entire home/apt,4,45,1
119,Brooklyn,Entire home/apt,1,0,2
199,Brooklyn,Entire home/apt,1,0,1
72,Staten Island,Entire home/apt,3,11,3
65,Staten Island,Private room,1,9,3
71,Brooklyn,Private room,1,0,3
160,Brooklyn,Entire home/apt,2,1,1
29,Brooklyn,Shared room,18,1,10
75,Brooklyn,Private room,2,1,1
99,Brooklyn,Entire home/apt,1,41,2
99,Brooklyn,Entire home/apt,1,117,1
145,Brooklyn,Entire home/apt,4,59,1
60,Staten Island,Entire home/apt,3,81,3
37,Staten Island,Private room,1,7,3
175,Brooklyn,Entire home/apt,3,21,1
49,Staten Island,Private room,1,8,3
110,Brooklyn,Entire home/apt,7,0,1
99,Brooklyn,Entire home/apt,1,88,2
179,Brooklyn,Entire home/apt,2,1,1
1315,Brooklyn,Entire home/apt,10,0,1
85,Brooklyn,Private room,1,18,1
150,Brooklyn,Entire home/apt,7,0,1
75,Brooklyn,Private room,1,12,1
225,Queens,Private room,1,35,1
50,Staten Island,Private room,1,38,3
68,Brooklyn,Entire home/apt,25,4,1
119,Brooklyn,Entire home/apt,1,19,2
65,Brooklyn,Private room,1,23,5
30,Staten Island,Private room,7,1,2
55,Brooklyn,Private room,1,5,1
65,Brooklyn,Private room,1,43,5
85,Brooklyn,Private room,60,0,1
80,Brooklyn,Entire home/apt,1,51,1
100,Brooklyn,Private room,2,7,1
35,Brooklyn,Private room,1,77,5
50,Brooklyn,Shared room,1,1,4
99,Brooklyn,Entire home/apt,1,36,1
75,Brooklyn,Entire home/apt,2,48,1
80,Staten Island,Entire home/apt,3,68,1
100,Brooklyn,Private room,1,3,1
100,Brooklyn,Shared room,1,4,2
125,Brooklyn,Private room,2,21,1
43,Staten Island,Private room,10,0,3
130,Brooklyn,Entire home/apt,2,73,1
45,Brooklyn,Private room,1,1,1
52,Staten Island,Private room,1,74,3
57,Brooklyn,Private room,1,1,4
149,Brooklyn,Entire home/apt,6,0,1
137,Brooklyn,Entire home/apt,2,2,5
150,Staten Island,Entire home/apt,2,0,1
155,Staten Island,Entire home/apt,3,63,1
69,Brooklyn,Private room,1,2,1
129,Brooklyn,Private room,3,0,1
110,Brooklyn,Entire home/apt,30,7,9
60,Brooklyn,Private room,1,2,4
30,Brooklyn,Private room,1,70,5
35,Brooklyn,Private room,1,67,5
120,Brooklyn,Entire home/apt,1,119,4
169,Brooklyn,Entire home/apt,4,63,1
150,Brooklyn,Entire home/apt,30,2,1
129,Brooklyn,Entire home/apt,2,45,5
99,Brooklyn,Entire home/apt,30,1,5
85,Staten Island,Entire home/apt,2,12,1
75,Brooklyn,Private room,10,2,2
88,Queens,Private room,2,32,1
115,Brooklyn,Entire home/apt,2,60,1
200,Queens,Entire home/apt,1,4,1
3000,Brooklyn,Private room,1,0,1
260,Brooklyn,Entire home/apt,7,3,2
300,Brooklyn,Entire home/apt,3,0,1
62,Staten Island,Entire home/apt,14,4,1
180,Brooklyn,Entire home/apt,3,4,3
85,Brooklyn,Entire home/apt,4,72,2
65,Queens,Entire home/apt,2,13,1
50,Brooklyn,Private room,2,0,1
70,Staten Island,Entire home/apt,3,14,1
125,Queens,Private room,1,30,1
35,Brooklyn,Private room,5,1,12
70,Brooklyn,Entire home/apt,4,128,2
99,Brooklyn,Entire home/apt,3,66,5
60,Brooklyn,Private room,1,4,1
200,Queens,Entire home/apt,3,2,1
179,Brooklyn,Entire home/apt,7,0,1
140,Queens,Entire home/apt,2,14,1
20,Brooklyn,Shared room,5,5,12
25,Brooklyn,Shared room,10,0,12
275,Queens,Entire home/apt,2,29,1
250,Queens,Entire home/apt,2,0,1
109,Brooklyn,Entire home/apt,1,0,1
70,Brooklyn,Private room,10,1,2
200,Queens,Entire home/apt,2,2,1
59,Brooklyn,Entire home/apt,2,42,1
120,Queens,Entire home/apt,1,113,2
150,Brooklyn,Entire home/apt,1,10,1
250,Brooklyn,Entire home/apt,3,4,3
99,Queens,Entire home/apt,4,21,1
58,Staten Island,Entire home/apt,1,87,1
60,Brooklyn,Private room,1,4,1
53,Queens,Private room,2,7,1
100,Brooklyn,Private room,2,0,1
28,Brooklyn,Shared room,10,0,12
400,Brooklyn,Entire home/apt,3,2,3
300,Brooklyn,Entire home/apt,5,8,2
224,Brooklyn,Entire home/apt,30,2,1
66,Queens,Entire home/apt,7,2,1
75,Queens,Entire home/apt,30,1,1
28,Brooklyn,Shared room,9,2,12
150,Brooklyn,Entire home/apt,21,0,1
50,Brooklyn,Private room,1,6,3
85,Brooklyn,Private room,3,0,1
90,Brooklyn,Entire home/apt,7,32,1
142,Queens,Entire home/apt,2,11,1
189,Brooklyn,Entire home/apt,2,13,1
85,Queens,Private room,2,15,1
70,Brooklyn,Entire home/apt,2,1,1
125,Brooklyn,Entire home/apt,2,13,1
2000,Brooklyn,Entire home/apt,1,1,1
50,Brooklyn,Private room,30,0,3
59,Brooklyn,Private room,1,13,1
70,Queens,Private room,27,13,1
45,Brooklyn,Private room,1,21,1
50,Brooklyn,Private room,1,5,3
50,Brooklyn,Private room,1,8,3
125,Queens,Entire home/apt,4,1,1
45,Brooklyn,Private room,7,34,1
85,Queens,Private room,1,0,1
150,Queens,Entire home/apt,1,144,2
100,Staten Island,Private room,2,6,2
69,Brooklyn,Entire home/apt,1,42,1
68,Staten Island,Entire home/apt,2,8,1
24,Brooklyn,Shared room,11,2,12
199,Brooklyn,Private room,3,0,1
110,Queens,Entire home/apt,1,75,1
83,Brooklyn,Entire home/apt,3,29,1
200,Queens,Entire home/apt,3,24,1
44,Brooklyn,Private room,3,32,2
159,Queens,Entire home/apt,1,0,4
79,Brooklyn,Private room,30,0,2
45,Brooklyn,Private room,1,9,1
89,Brooklyn,Private room,2,0,1
145,Queens,Entire home/apt,2,42,1
350,Queens,Entire home/apt,2,25,2
100,Brooklyn,Entire home/apt,20,0,1
59,Brooklyn,Private room,6,15,2
299,Queens,Entire home/apt,3,4,1
20,Brooklyn,Shared room,7,2,12
75,Queens,Entire home/apt,2,35,1
49,Queens,Private room,1,10,1
130,Brooklyn,Entire home/apt,2,41,1
80,Brooklyn,Entire home/apt,1,42,1
96,Queens,Entire home/apt,2,4,1
53,Queens,Private room,1,14,1
149,Queens,Entire home/apt,1,41,2
37,Brooklyn,Shared room,30,0,3
80,Brooklyn,Entire home/apt,2,1,2
325,Queens,Entire home/apt,1,61,2
70,Brooklyn,Private room,1,0,1
1500,Queens,Entire home/apt,3,0,1
50,Brooklyn,Private room,180,0,3
99,Queens,Entire home/apt,1,1,4
75,Queens,Private room,2,8,1
250,Queens,Entire home/apt,4,40,1
89,Queens,Entire home/apt,30,34,1
65,Staten Island,Private room,1,8,2
50,Staten Island,Private room,2,4,2
120,Brooklyn,Entire home/apt,2,15,1
450,Queens,Entire home/apt,2,32,2
99,Queens,Private room,3,1,1
275,Queens,Entire home/apt,2,0,2
139,Queens,Entire home/apt,1,1,4
325,Queens,Entire home/apt,3,21,1
85,Brooklyn,Entire home/apt,30,1,6
130,Queens,Entire home/apt,1,186,1
75,Queens,Private room,1,2,1
149,Queens,Private room,1,91,5
150,Queens,Entire home/apt,1,0,1
450,Queens,Entire home/apt,3,15,1
130,Queens,Entire home/apt,2,0,1
86,Queens,Entire home/apt,2,23,1
300,Queens,Private room,2,3,1
199,Queens,Entire home/apt,1,11,1
45,Brooklyn,Private room,4,52,1
95,Queens,Private room,1,31,5
86,Queens,Entire home/apt,2,2,2
150,Queens,Entire home/apt,2,14,1
85,Queens,Entire home/apt,2,99,1
200,Queens,Private room,2,70,1
39,Brooklyn,Private room,3,20,1
70,Brooklyn,Private room,3,46,2
70,Queens,Entire home/apt,1,70,1
70,Brooklyn,Entire home/apt,2,59,1
32,Brooklyn,Private room,1,50,3
545,Queens,Entire home/apt,1,31,1
110,Queens,Private room,1,34,2
50,Queens,Private room,1,1,1
70,Brooklyn,Private room,3,67,2
89,Queens,Entire home/apt,1,0,4
95,Queens,Private room,1,2,5
179,Queens,Entire home/apt,2,34,1
50,Brooklyn,Private room,3,3,1
35,Brooklyn,Private room,3,52,2
95,Queens,Private room,1,0,5
75,Queens,Private room,2,3,1
89,Queens,Entire home/apt,2,150,1
100,Queens,Private room,2,10,1
150,Queens,Private room,1,2,1
60,Queens,Private room,3,3,2
250,Queens,Entire home/apt,2,48,1
49,Queens,Private room,1,15,1
48,Queens,Private room,1,62,2
25,Brooklyn,Shared room,7,0,6
135,Queens,Entire home/apt,2,27,2
150,Queens,Entire home/apt,1,5,1
20,Staten Island,Shared room,4,1,1
119,Staten Island,Entire home/apt,2,17,1
125,Queens,Entire home/apt,1,0,1
100,Staten Island,Entire home/apt,2,18,1
129,Queens,Entire home/apt,1,0,3
25,Brooklyn,Shared room,7,0,6
100,Queens,Entire home/apt,2,50,1
149,Queens,Private room,1,56,5
55,Brooklyn,Private room,2,25,1
69,Queens,Private room,1,25,4
59,Brooklyn,Private room,5,3,1
37,Queens,Private room,1,114,2
126,Queens,Entire home/apt,7,0,1
105,Brooklyn,Entire home/apt,2,22,1
55,Brooklyn,Private room,1,45,3
99,Queens,Entire home/apt,1,1,3
125,Queens,Entire home/apt,1,9,1
113,Queens,Private room,2,36,1
200,Queens,Entire home/apt,1,15,1
60,Queens,Entire home/apt,1,53,1
150,Queens,Private room,2,29,2
69,Queens,Private room,1,51,4
39,Brooklyn,Private room,1,1,2
60,Queens,Private room,1,5,2
37,Brooklyn,Private room,1,1,2
150,Queens,Entire home/apt,2,20,1
40,Brooklyn,Private room,2,10,2
71,Staten Island,Entire home/apt,2,30,1
25,Brooklyn,Shared room,1,0,6
35,Brooklyn,Private room,2,2,1
275,Queens,Entire home/apt,2,24,1
70,Brooklyn,Private room,1,2,1
25,Brooklyn,Shared room,7,1,6
139,Queens,Entire home/apt,1,0,3
140,Queens,Entire home/apt,2,9,1
100,Queens,Entire home/apt,2,48,1
60,Brooklyn,Private room,1,56,3
50,Staten Island,Private room,7,0,4
175,Queens,Entire home/apt,2,0,1
108,Queens,Entire home/apt,4,20,1
65,Staten Island,Private room,1,1,2
275,Staten Island,Entire home/apt,4,24,1
25,Brooklyn,Shared room,7,0,6
195,Staten Island,Entire home/apt,3,1,1
129,Queens,Entire home/apt,2,1,1
33,Brooklyn,Private room,2,0,6
65,Brooklyn,Private room,2,52,2
129,Brooklyn,Entire home/apt,3,4,1
70,Brooklyn,Private room,1,1,1
200,Queens,Entire home/apt,1,46,4
300,Brooklyn,Entire home/apt,2,0,1
55,Staten Island,Private room,1,10,1
76,Brooklyn,Entire home/apt,2,26,1
65,Brooklyn,Private room,2,38,2
37,Queens,Shared room,1,0,2
46,Brooklyn,Private room,4,0,1
625,Staten Island,Entire home/apt,4,1,4
50,Queens,Private room,1,44,1
500,Brooklyn,Private room,30,0,2
150,Queens,Entire home/apt,1,109,1
55,Queens,Private room,1,28,4
99,Brooklyn,Private room,1,13,1
75,Brooklyn,Private room,1,8,1
85,Brooklyn,Private room,7,0,3
250,Staten Island,Entire home/apt,2,21,4
125,Staten Island,Entire home/apt,2,8,4
95,Queens,Entire home/apt,2,6,1
250,Queens,Entire home/apt,2,89,1
68,Staten Island,Private room,2,11,1
80,Queens,Private room,1,1,1
130,Brooklyn,Entire home/apt,3,15,2
39,Queens,Shared room,1,0,2
140,Brooklyn,Entire home/apt,3,3,2
40,Queens,Private room,30,0,43
65,Queens,Private room,1,2,1
99,Staten Island,Private room,1,2,1
40,Queens,Private room,30,1,43
40,Queens,Private room,1,33,1
50,Brooklyn,Private room,2,82,3
199,Brooklyn,Private room,1,0,1
54,Queens,Private room,3,0,1
122,Staten Island,Entire home/apt,1,52,3
60,Queens,Private room,1,1,1
64,Brooklyn,Entire home/apt,30,0,1
95,Queens,Entire home/apt,1,6,1
110,Brooklyn,Entire home/apt,2,16,1
60,Staten Island,Entire home/apt,1,25,3
50,Queens,Private room,1,76,1
35,Queens,Private room,1,1,1
300,Queens,Entire home/apt,2,1,1
80,Staten Island,Private room,1,38,1
90,Queens,Entire home/apt,1,0,1
80,Queens,Entire home/apt,7,1,1
150,Queens,Entire home/apt,2,22,1
300,Queens,Entire home/apt,1,67,1
95,Brooklyn,Entire home/apt,4,13,1
105,Staten Island,Private room,1,12,1
225,Queens,Entire home/apt,1,6,2
200,Queens,Entire home/apt,2,35,1
139,Brooklyn,Entire home/apt,2,41,3
150,Queens,Entire home/apt,2,2,1
140,Queens,Entire home/apt,1,36,1
120,Queens,Entire home/apt,1,26,1
50,Staten Island,Private room,30,0,3
105,Brooklyn,Entire home/apt,2,1,1
40,Staten Island,Private room,10,0,3
53,Brooklyn,Private room,2,9,1
275,Queens,Entire home/apt,3,0,1
50,Staten Island,Private room,30,0,3
250,Queens,Entire home/apt,2,10,1
250,Queens,Entire home/apt,2,22,1
199,Staten Island,Entire home/apt,1,1,1
750,Queens,Entire home/apt,1,14,2
130,Queens,Entire home/apt,1,5,1
100,Queens,Entire home/apt,4,14,1
125,Brooklyn,Entire home/apt,1,0,1
43,Queens,Private room,30,2,43
195,Queens,Private room,4,0,1
109,Brooklyn,Entire home/apt,4,80,2
38,Queens,Private room,30,4,43
50,Queens,Private room,3,0,1
150,Brooklyn,Entire home/apt,2,145,2
800,Staten Island,Entire home/apt,7,0,3
120,Queens,Entire home/apt,1,0,1
99,Queens,Entire home/apt,3,5,2
35,Staten Island,Private room,4,10,7
85,Brooklyn,Entire home/apt,30,9,3
38,Queens,Private room,30,5,43
45,Brooklyn,Private room,30,4,1
180,Queens,Entire home/apt,1,19,1
100,Queens,Entire home/apt,6,9,1
120,Brooklyn,Entire home/apt,5,0,3
51,Brooklyn,Private room,2,80,3
34,Staten Island,Private room,4,8,8
109,Brooklyn,Entire home/apt,2,224,2
119,Brooklyn,Entire home/apt,2,174,2
98,Brooklyn,Entire home/apt,2,12,1
50,Queens,Entire home/apt,2,58,1
900,Queens,Entire home/apt,2,0,5
147,Queens,Entire home/apt,4,20,1
60,Brooklyn,Private room,3,2,1
38,Queens,Private room,6,5,43
32,Staten Island,Private room,4,10,8
50,Brooklyn,Shared room,7,6,10
140,Brooklyn,Entire home/apt,1,0,1
250,Brooklyn,Private room,2,0,1
32,Staten Island,Private room,4,45,7
100,Brooklyn,Entire home/apt,3,23,1
85,Brooklyn,Private room,7,0,1
33,Staten Island,Private room,4,17,8
34,Staten Island,Private room,4,39,8
35,Queens,Private room,2,201,2
200,Queens,Entire home/apt,1,7,2
200,Queens,Entire home/apt,2,18,1
83,Brooklyn,Entire home/apt,1,35,2
30,Staten Island,Private room,4,26,7
35,Queens,Private room,1,42,2
42,Queens,Private room,6,2,43
29,Staten Island,Shared room,1,0,7
33,Staten Island,Private room,4,18,7
32,Staten Island,Private room,4,30,7
425,Queens,Entire home/apt,1,0,1
32,Staten Island,Private room,4,23,7
40,Brooklyn,Shared room,5,12,10
50,Brooklyn,Entire home/apt,30,3,1
68,Queens,Private room,1,66,1
99,Brooklyn,Entire home/apt,2,3,3
40,Brooklyn,Shared room,3,1,10
140,Brooklyn,Entire home/apt,7,0,2
35,Queens,Private room,1,60,3
180,Brooklyn,Entire home/apt,3,0,3
129,Brooklyn,Entire home/apt,2,137,2
59,Brooklyn,Private room,2,18,3
40,Brooklyn,Private room,2,7,1
35,Queens,Private room,1,61,2
32,Staten Island,Private room,4,26,8
190,Queens,Entire home/apt,3,21,1
450,Queens,Entire home/apt,7,0,1
50,Queens,Private room,1,18,1
50,Queens,Private room,1,53,3
35,Staten Island,Private room,4,11,8
33,Staten Island,Private room,4,6,8
230,Queens,Entire home/apt,1,3,2
40,Queens,Private room,30,0,43
92,Queens,Entire home/apt,1,55,1
34,Staten Island,Private room,4,51,8
250,Queens,Entire home/apt,1,0,1
250,Queens,Entire home/apt,10,0,1
70,Queens,Private room,1,12,4
150,Staten Island,Entire home/apt,2,12,1
25,Brooklyn,Shared room,7,2,10
37,Brooklyn,Shared room,1,47,5
30,Brooklyn,Shared room,2,5,10
45,Brooklyn,Shared room,1,135,5
50,Queens,Private room,1,12,4
50,Brooklyn,Private room,5,40,1
20,Brooklyn,Shared room,2,1,10
100,Queens,Entire home/apt,1,12,1
85,Brooklyn,Entire home/apt,60,0,2
35,Brooklyn,Shared room,1,116,5
119,Brooklyn,Entire home/apt,2,51,1
800,Brooklyn,Private room,1,0,1
148,Brooklyn,Entire home/apt,4,26,2
110,Brooklyn,Entire home/apt,2,38,2
25,Brooklyn,Shared room,1,0,1
61,Brooklyn,Private room,2,3,2
35,Brooklyn,Shared room,1,104,5
249,Staten Island,Entire home/apt,4,9,2
138,Brooklyn,Private room,1,1,2
85,Queens,Private room,1,2,4
35,Queens,Private room,3,11,2
137,Queens,Entire home/apt,1,4,1
50,Queens,Private room,1,28,3
60,Brooklyn,Private room,6,0,1
20,Brooklyn,Shared room,7,0,10
35,Staten Island,Private room,1,45,4
85,Brooklyn,Entire home/apt,60,0,2
119,Brooklyn,Private room,1,0,1
55,Queens,Private room,1,0,1
60,Queens,Private room,2,81,1
35,Staten Island,Private room,1,2,4
145,Queens,Entire home/apt,1,3,4
100,Brooklyn,Shared room,1,1,1
99,Brooklyn,Entire home/apt,2,17,1
90,Brooklyn,Entire home/apt,30,0,1
45,Brooklyn,Shared room,1,126,5
199,Brooklyn,Entire home/apt,3,16,1
39,Brooklyn,Private room,3,22,1
47,Queens,Private room,30,8,2
79,Brooklyn,Private room,1,2,1
69,Brooklyn,Private room,1,0,1
61,Brooklyn,Private room,2,3,2
35,Brooklyn,Shared room,3,2,4
139,Brooklyn,Private room,1,3,2
35,Staten Island,Private room,4,73,4
59,Brooklyn,Private room,1,5,1
100,Brooklyn,Entire home/apt,7,0,1
95,Brooklyn,Entire home/apt,2,2,2
63,Queens,Entire home/apt,1,11,1
30,Staten Island,Shared room,2,0,4
50,Brooklyn,Private room,2,7,1
200,Brooklyn,Entire home/apt,4,1,3
40,Brooklyn,Private room,2,0,1
55,Brooklyn,Private room,1,3,1
75,Staten Island,Private room,30,59,2
75,Staten Island,Private room,30,36,2
75,Staten Island,Private room,2,8,1
80,Brooklyn,Entire home/apt,2,3,1
200,Brooklyn,Private room,1,0,1
179,Brooklyn,Entire home/apt,2,101,1
51,Queens,Entire home/apt,1,4,1
25,Staten Island,Private room,1,34,2
69,Brooklyn,Private room,2,45,1
100,Staten Island,Entire home/apt,1,25,1
150,Brooklyn,Entire home/apt,1,13,1
21,Brooklyn,Private room,1,2,1
39,Staten Island,Private room,1,29,2
180,Brooklyn,Entire home/apt,3,46,1
125,Brooklyn,Entire home/apt,2,0,1
200,Staten Island,Entire home/apt,4,4,1
36,Brooklyn,Private room,7,8,2
129,Staten Island,Private room,1,40,2
45,Brooklyn,Private room,4,17,2
80,Brooklyn,Private room,2,7,1
55,Queens,Private room,1,27,1
146,Brooklyn,Entire home/apt,3,98,1
72,Brooklyn,Private room,1,61,2
36,Brooklyn,Private room,7,3,2
88,Brooklyn,Entire home/apt,4,1,1
50,Brooklyn,Private room,2,13,1
875,Queens,Private room,2,0,5
50,Brooklyn,Private room,4,36,2
50,Brooklyn,Private room,4,24,2
106,Brooklyn,Entire home/apt,7,0,2
49,Brooklyn,Private room,2,1,2
69,Brooklyn,Private room,1,0,1
139,Brooklyn,Entire home/apt,1,5,1
59,Brooklyn,Private room,2,0,2
60,Brooklyn,Private room,3,0,1
45,Brooklyn,Private room,7,0,1
52,Queens,Private room,30,0,2
151,Queens,Entire home/apt,2,33,1
120,Staten Island,Entire home/apt,1,26,1
300,Staten Island,Entire home/apt,1,0,1
30,Staten Island,Private room,4,16,7
59,Brooklyn,Private room,1,0,2
70,Queens,Private room,1,13,1
100,Brooklyn,Private room,1,2,1
33,Brooklyn,Private room,6,29,2
150,Staten Island,Entire home/apt,7,1,2
123,Brooklyn,Entire home/apt,3,3,2
123,Brooklyn,Entire home/apt,2,27,2
113,Brooklyn,Entire home/apt,3,24,2
85,Staten Island,Private room,1,0,1
75,Brooklyn,Private room,7,4,1
200,Brooklyn,Entire home/apt,3,4,1
49,Staten Island,Private room,2,0,1
73,Brooklyn,Private room,3,77,3
300,Staten Island,Private room,1,0,1
120,Queens,Entire home/apt,1,23,1
34,Staten Island,Private room,4,24,7
35,Staten Island,Private room,4,19,7
50,Brooklyn,Private room,1,24,1
49,Brooklyn,Private room,2,3,2
33,Staten Island,Private room,3,29,7
35,Brooklyn,Private room,1,7,12
30,Staten Island,Shared room,4,1,7
40,Brooklyn,Private room,1,1,1
105,Queens,Entire home/apt,4,8,1
92,Brooklyn,Private room,3,60,3
49,Staten Island,Entire home/apt,1,43,1
88,Brooklyn,Entire home/apt,1,39,1
120,Queens,Private room,2,0,1
113,Brooklyn,Entire home/apt,3,13,2
50,Brooklyn,Private room,1,0,2
81,Brooklyn,Entire home/apt,5,9,1
113,Brooklyn,Entire home/apt,3,69,2
29,Brooklyn,Private room,2,1,1
50,Brooklyn,Private room,1,0,2
40,Brooklyn,Private room,1,0,1
67,Brooklyn,Private room,3,62,3
99,Brooklyn,Entire home/apt,3,39,1
100,Brooklyn,Entire home/apt,1,0,1
123,Brooklyn,Entire home/apt,2,62,2
62,Brooklyn,Private room,1,0,1
30,Staten Island,Private room,4,11,7
25,Brooklyn,Private room,1,0,1
68,Brooklyn,Private room,2,39,1
40,Staten Island,Private room,2,36,7
225,Brooklyn,Entire home/apt,2,1,1
55,Brooklyn,Private room,3,0,1
25,Brooklyn,Shared room,3,119,2
80,Staten Island,Private room,2,2,1
49,Brooklyn,Entire home/apt,1,1,1
65,Staten Island,Private room,1,1,1
100,Staten Island,Private room,3,0,1
55,Brooklyn,Private room,1,135,1
30,Brooklyn,Shared room,2,2,8
45,Brooklyn,Entire home/apt,1,0,1
79,Brooklyn,Private room,1,17,6
65,Brooklyn,Private room,1,5,8
65,Brooklyn,Private room,2,11,2
65,Brooklyn,Private room,1,4,8
350,Brooklyn,Entire home/apt,1,23,8
73,Brooklyn,Entire home/apt,15,2,1
119,Brooklyn,Entire home/apt,1,12,1
75,Brooklyn,Private room,3,0,1
69,Brooklyn,Private room,7,3,1
40,Brooklyn,Private room,1,95,2
50,Brooklyn,Private room,2,4,2
89,Brooklyn,Private room,1,5,1
120,Brooklyn,Entire home/apt,2,3,2
50,Brooklyn,Private room,3,15,2
45,Queens,Private room,3,1,2
165,Staten Island,Entire home/apt,2,51,1
